unique_value,ecc_count
247.000000,141
248.000000,123
249.000000,148
250.000000,139
251.000000,165
252.000000,150
253.000000,165
254.000000,161
255.000000,151
256.000000,156
257.000000,167
258.000000,189
259.000000,174
260.000000,166
261.000000,179
262.000000,176
263.000000,197
264.000000,204
265.000000,204
266.000000,225
267.000000,207
268.000000,187
269.000000,217
270.000000,244
271.000000,198
272.000000,232
273.000000,240
274.000000,239
275.000000,245
276.000000,251
277.000000,242
278.000000,266
279.000000,269
280.000000,244
281.000000,272
282.000000,292
283.000000,265
284.000000,314
285.000000,300
286.000000,295
287.000000,277
288.000000,336
289.000000,345
290.000000,336
291.000000,296
292.000000,334
293.000000,330
294.000000,323
295.000000,336
296.000000,336
297.000000,381
298.000000,352
299.000000,397
300.000000,399
301.000000,400
302.000000,391
303.000000,440
304.000000,389
305.000000,401
306.000000,430
307.000000,410
308.000000,416
309.000000,401
310.000000,428
311.000000,451
312.000000,430
313.000000,411
314.000000,482
315.000000,461
316.000000,464
317.000000,475
318.000000,460
319.000000,478
320.000000,477
321.000000,505
322.000000,489
323.000000,504
324.000000,510
325.000000,499
326.000000,531
327.000000,543
328.000000,524
329.000000,511
330.000000,544
331.000000,549
332.000000,553
333.000000,548
334.000000,537
335.000000,575
336.000000,571
337.000000,588
338.000000,584
339.000000,562
340.000000,571
341.000000,534
342.000000,551
343.000000,573
344.000000,550
345.000000,578
346.000000,584
347.000000,652
348.000000,572
349.000000,610
350.000000,609
351.000000,635
352.000000,595
353.000000,640
354.000000,574
355.000000,599
356.000000,585
357.000000,657
358.000000,613
359.000000,587
360.000000,613
361.000000,591
362.000000,605
363.000000,675
364.000000,626
365.000000,659
366.000000,652
367.000000,640
368.000000,647
369.000000,558
370.000000,607
371.000000,581
372.000000,592
373.000000,602
374.000000,621
375.000000,587
376.000000,621
377.000000,561
378.000000,543
379.000000,530
380.000000,538
381.000000,539
382.000000,548
383.000000,560
384.000000,507
385.000000,515
386.000000,529
387.000000,440
388.000000,485
389.000000,449
390.000000,411
391.000000,511
392.000000,444
393.000000,401
394.000000,433
395.000000,444
396.000000,418
397.000000,400
398.000000,336
399.000000,432
400.000000,372
401.000000,331
402.000000,328
403.000000,239
404.000000,250
405.000000,280
406.000000,270
407.000000,198
408.000000,216
409.000000,145
410.000000,153
411.000000,129
412.000000,93
413.000000,132
414.000000,68
415.000000,31
416.000000,8
417.000000,17
418.000000,16
419.000000,-72
420.000000,-99
421.000000,-42
422.000000,-119
423.000000,-97
424.000000,-165
425.000000,-212
426.000000,-245
427.000000,-258
428.000000,-290
429.000000,-227
430.000000,-294
431.000000,-256
432.000000,-363
433.000000,-434
434.000000,-414
435.000000,-535
436.000000,-475
437.000000,-541
438.000000,-565
439.000000,-458
440.000000,-623
441.000000,-597
442.000000,-607
443.000000,-603
444.000000,-673
445.000000,-706
446.000000,-759
447.000000,-810
448.000000,-825
449.000000,-841
450.000000,-909
451.000000,-921
452.000000,-911
453.000000,-1007
454.000000,-1037
455.000000,-1038
456.000000,-1104
457.000000,-1045
458.000000,-1086
459.000000,-1092
460.000000,-1180
461.000000,-1228
462.000000,-1247
463.000000,-1246
464.000000,-1203
465.000000,-1292
466.000000,-1217
467.000000,-1400
468.000000,-1375
469.000000,-1383
470.000000,-1417
471.000000,-1471
472.000000,-1445
473.000000,-1481
474.000000,-1465
475.000000,-1515
476.000000,-1536
477.000000,-1507
478.000000,-1606
479.000000,-1589
480.000000,-1573
481.000000,-1639
482.000000,-1699
483.000000,-1679
